 "n" , "FFVenuesPerPerson" , "sR" , "IbdScore" ,
 "Iceland" , "68.020347522139158565500000" , "15.06979" , "22.0e0" ,
 "France" , "12.226189035459276291900000" , "15.78652" , "10.1e0" ,
 "Finland" , "27.416187222699517230800000" , "16.68945" , "23.7e0" ,
 "Greece" , "11.264912073450463245900000" , "4.92309" , "3.6e0" ,
 "Norway" , "12.771885751995084119100000" , "10.21201" , "20.95e0" ,
 "Hungary" , "16.853541139414517112200000" , "25.37065" , "20.8e0" ,
 "Belgium" , "17.470700463341509948200000" , "17.7747" , "8.1e0" ,
 "Croatia" , "12.326871678843302249400000" , "16.48266" , "11.1e0" ,
 "Italy" , "6.718273558998740822400000" , "6.41925" , "11.425e0" ,
 "Estonia" , "10.073168511424465413200000" , "18.71299" , "3.0999999999999996e0" ,
 "Spain" , "5.635415039074017160300000" , "7.0247" , "14.399999999999999e0" ,
 "Denmark" , "89.105047806349821960600000" , "11.17013" , "22.0e0" ,
 "Netherlands" , "21.594945907027072311600000" , "10.03449" , "13.9e0" ,
 "Romania" , "3.175381383351904014400000" , "12.78488" , "1.47e0" ,
 "Ireland" , "33.341794718914738749800000" , "11.53397" , "20.700000000000003e0" ,
 "Portugal" , "4.591740918223303661500000" , "12.48891" , "6.6e0" ,
 "Sweden" , "30.05463188411409187100000" , "13.19343" , "25.8e0" ,
 "Germany" , "29.152832152237474602300000" , "12.97631" , "10.5e0" ,
 "United Kingdom" , "20.742320170386218975300000" , "6.9782" , "20.5e0" ,
